"word","pos","hyphenation","ethymology","meaning"
"alkohol","podstatné jméno","al-ko-hol","Z latinského alcohol, z arabského الكحل (al-kuħl).","1) lidové označení etanolu 2) nápoj obsahující podstatné množství etanolu, pro jehož obsah je konzumován 3)  sloučenina odvozená ze skupiny nasycených uhlovodíků 4)  sloučenina odvozená ze skupiny uhlovodíků dvojnou vazbou 5)  sloučenina odvozená ze skupiny uhlovodíků trojnou vazbou"
"alt","podstatné jméno","alt","Ve významu [1] z italského alto („vysoký“). Ve významu [2] a [3] převzato z anglického Alt („klávesa alt“).","1)  hluboký ženský nebo chlapecký hlas 2) * (Karel Václav Rais: Moc umění) 3)  počítačová klávesa vlevo (na některých jinojazyčných klávesnicích, především anglické, i]] která mění význam klávesy stlačené spolu ní, což umožňuje tzv. |klávesové zkratky, kterou se aktivují některá menu 4)  Alt Gr; na některých neanglických počítačových klávesnicích klávesa vpravo vedle mezerníku, kterou se zadávají zvláštní znaky, které chybí dané abecedě, kterou se aktivují některá menu"
"Amazonka","podstatné jméno","Ama-zon-ka","Řeku označil tímto jménem roku 1541 španělský dobyvatel podle žen z řeckých bájí, když poblíž řeky narazil na domorodý kmen vedený ženou. Starořecké jméno Amazonek bylo odvozeno ze slova amazos — „bezprsá“, což souvisí s pověstí, že si odstraňovaly prsy, aby mohly lépe střílet z luku.","1) řeka Jižní Americe 2) příslušnice bájného antického kmene žen"
"ambulance","podstatné jméno","am-bu-lan-ce","Přes francouzštinu z latinského ambulāre — chodit, procházet se; docházet. Srovnej např. somnambul či italské andare.","1) oddělení nemocnice či polikliniky, zajišťující ošetření akutních onemocnění a]] kteří v nemocnici nezůstanou přes noc 2) automobil, vybavený pro převoz pacientů a]] [[pro poskytování první pomoci"
"amen","podstatné jméno","amen","Přes latinu ze starořeckého ἀμήν, které vychází z hebrejského אמן — „pravda“, používaného v příslovečném významu jako výraz souhlasu, jež vyšlo ze semitského kořene a-m-n „být důvěryhodný, potvrzovat, podpírat“. Talmud vysvětluje slovo jako iniciálovou zkratku z (Bůh, Král, v něhož věříme).","1) souhlas, potvrzení 2)  konec, záhuba, zánik 3) Někdy (zřídka) je možné se setkat s jeho překladem, např.: „Tak buď“, „Staň se“, „Staniž se“. 4) * V italštině se především ve starších textech (pol. 20. století) s překladem „così sia“, česky „tak se staň“."
"Američan","podstatné jméno","Ame-ri-čan","Od substantiva Amerika příponou -an.","1) obyvatel amerického kontinentu 2) obyvatel USA"
"ampérhodina","podstatné jméno","am-pér-ho-di-na","Spojením názvů fyzikálních jednotek ampér a hodina.","1)  jednotka dříve užívaná pro elektrický náboj (1 Ah = 3600 C) 2)  jednotka kapacity elektrického zdroje, odpovídající schopnosti dodávat proud jeden ampér po dobu jedné hodiny"
"anaglyf","podstatné jméno","ana-glyf","Z řečtiny.","1) plastika vystupující plochy 2) metoda vytvoření prostorového obrazu"
"anatomie","podstatné jméno","ana-to-mie","Z řeckého anatemnein (rozřezávat). Poznávání stavby těla rozřezáváním, resp. rozborem při pitvě, je nejstarší a nejběžnější metoda anatomie.","1) nauka stavbě lidského těla 2)  nauka stavbě organismu"
"angažmá","podstatné jméno","an-gaž-má","Z francouzského engagement (závazek).","1) smlouva umělce (zejména herce nebo hudebníka) tělesem či souborem placeném účinkování v]] rámci 2)  aktivní účast nějakém projektu"
"ani","spojka","ani","Složení spojky a]] s částicí [[ni.","1) vyjadřuje slučovací poměr v záporných větách 2) vyjadřuje stupňovací poměr v záporných větách"
"animozita","podstatné jméno","ani-mo-zi-ta","Z francouzského animosité (animozita).","1) zaujatost (případně nenávistnost nebo předpojatost) proti někomu nebo něčemu 2) předrážděnost"
"aplikace","podstatné jméno","ap-li-ka-ce","Z latinského applicatio, applicāre (připojovat, připínat) < ad- + plicāre (vinout; odtud také komplikovat, replika, duplikát).","1) použití poznatků, nástroje, technologie, látky apod. praxi 2) část programového vybavení počítače, kterou uživatel chápe jako jeden nástroj s]] [[vymezeným účelem 3) ozdoba přiložená na povrch"
"apokalypsa","podstatné jméno","apo-ka-lyp-sa","Ze starořeckého ἀποκάλυψις (apokalypsis) znamenajícího odhalení. V rámci starořečtiny z předpony ἀπό- respektive předložky ἀπό (apo) znamenající od a slovesa καλύπτω (kalyptó) znamenajícího halit.","1) proroctví, respektive literární zpracování konce světa 2) konec světa 3) odhalení"
"apologetika","podstatné jméno","apo-lo-ge-ti-ka","Z pozdnělatinského apologētica (příp. apologēticē), což je přepis zpodstatnělého starořeckého adjektiva ἀπολογητικός (neutrum množného čísla), vycházejícího ze slovesa ἀπολογεῖσθαι — hájit (se), obhajovat (se). Srovnej např. anglické apologize.","1) jedna z]] disciplín, vědecká, racionální obhajoba křesťanské víry 2)  zaujatá, popř. nekritická obhajoba, obrana něčeho, zvláště nějaké idey, myšlenky, učení, řádu aj."
"apoštol","podstatné jméno","apo-š-tol","Přes starofrancouzštinu a latinu ze starořeckého substantiva ἀπόστολος — „posel, vyslanec“, které odvozeno od slovesa ἀποστέλλειν — „vyslat, vysílat“.","1) každý z]] Krista 2)  šiřitel určité ideje"
"arbitrární","přídavné jméno","ar-bi-t-rár-ní","Z latinského arbitrārius — soudcovský, rozhodcovský, které odvozeno od substantiva arbiter — rozhodčí. Řidčí varianta arbitrérní přes francouzské arbitraire.","1) rozhodující, rozhodovací 2) libovolný, nahodilý"
"aretace","podstatné jméno","are-ta-ce","Z francouzského arrêt (zadržení, zastavení).","1) mechanické zajištění přístroje nebo zařízení proti nechtěnému pohybu 2) součást přístroje nebo zařízení, kterou se provádí aretace (1)"
"arch","podstatné jméno","arch","Z latinského arcus.","1) list papíru určitého formátu 2) listina"
"archiv","podstatné jméno","ar-chiv","Odvozeno z pozdně latinského archivum, jež bylo odvozeno z řeckého ta archeia — „veřejné záznamy“, plurálu substantiva ἀρχεῖον (archeion) — „radnice“, jež vyšlo ze slova arché — „vláda“, doslova „počátek, začátek, první místo“; to souvisí s kořenem slovesa αρχείν archein — „vládnout“, vycházejícího z protoindoevropského kořene *archein- „začínat, vládnout, ovládat“.","1) sbírka písemností historického či úředního významu 2) instituce, vytvářející a]] [[spravující archiv (1)"
"archív","podstatné jméno","ar-chív","Odvozeno z pozdně latinského archivum, jež bylo odvozeno z řeckého ta archeia — „veřejné záznamy“, plurálu substantiva ἀρχεῖον (archeion) — „radnice“, jež vyšlo ze slova arché — „vláda“, doslova „počátek, začátek, první místo“; to souvisí s kořenem slovesa αρχείν archein — „vládnout“, vycházejícího z protoindoevropského kořene *archein- „začínat, vládnout, ovládat“.","1) sbírka písemností historického či úředního významu 2) instituce, vytvářející a]] [[spravující archív (1)"
"aromatický","přídavné jméno","aro-ma-tic-ký","Přes západní jazyky z latinského arōmatĭcus, které je odrazem starořeckého ἀρωματικός, odvozeného od substantiva ἄρωμα.","1) uvolňující aroma 2)  obsahující ve struktuře benzenové jádro či obecněji stabilizovaný cyklus s]] aromaticitu; aromát 3) * Naftalen je aromatická sloučenina s nepříjemným zápachem, kdežto aspirin je sice v podstatě také aromát, ale bez zápachu."
"asi","částice","a-si","Z protougrofinského *asja - věc, záležitost. Srovnej finské asia, karelské asie, vepské azj, võro asi, votské aźźa.","1) vyjadřuje menší míru jistoty 2) vyjadřuje menší míru přesnosti"
"ateismus","podstatné jméno","atei-s-mus","Ze starořeckého ἄθεος (atheós), ""bezbožný"") < z ἀν- (a-), ""bez-"") + θεός (theos), ""bůh, božství"").","1) otevřené popírání boha či božstev 2)  teoretické popírání boha (bohů), jeho existence či působnosti ve vztahu k]] [[člověku a]] [[světu 3) neznabožství, bezbožnost"
"Atény","podstatné jméno","Até-ny","Ze starořeckého jména města Ἀθῆναι. V češtině doloženo již na přelomu 13. a 14. století v .","1) hlavní město Řecka 2)  političtí zástupci Řecka"
"Babylon","podstatné jméno","Ba-by-lon","Jméno starověkého Babylonu se dává ve Starém zákonu lidovou etymologií do souvislosti se zmatek, Babyloňané jej ale svou lidovou etymologií vnímali jako 𒆍𒀭𒊏 (bab-’i’li), čili brána bohů. Do češtiny jméno proniklo přes Bibli z řeckého Βαβυλών, tam z akkadského 𒆍𒀭𒊏𒆠 (Bābili). Česká místní jména jsou metaforickým pojmenováním z českého exonyma biblického starověkého Babylonu. Podněty pro tato pojmenování byly různé, mohla to být vysoká poloha, která připomínala věž v Babylonu, v jiných případech zase zmatek podobný babylonskému, jinde si mohli lidé připadat jako v babylonském zajetí. Četná jsou i pomístní jména, často kopců, vyvýšenin a pozemků na nich ležících. Zde byla podnětem nejčastěji metafora s vysokou věží.","1) město ve starověké Babylónské říši na území dnešního Iráku 2) obec v]] [[okrese Domažlice 3) vrch Brtnické vrchovině"
"bagr","podstatné jméno","ba-gr","Z nizozemského bagger(machine) („stroj pro odstraňování bahna“) z bagger („bahno“).","1) mechanizovaný stroj pro transport materiálu 2)  odbití obouruč spodem ve volejbalu"
"bakalář","podstatné jméno","ba-ka-lář","Vzniklo z latinského označení baccalaureus, což je zkrácením sousloví bacca laurea coronatus — „korunovaný vavřínovým věncem“.","1) absolvent prvního stupně vysokoškolského studia 2)  hodnost nižšího stupně na středověkých univerzitách"
"bakelit","podstatné jméno","ba-ke-lit","Apelativizací názvu (ochranné známky) výrobku Bakelit, ten podle jména belgického chemika (1863–1944).","1) druh umělé hmoty 2)  staré nekvalitní auto (obvykle Trabant) 3) (xenofobně) černoch 4)  Cikán, Rom"
"bakšiš","podstatné jméno","bak-šiš","Z tureckého bahşiş.","1) druh úplatku či spropitného islámském světě 2)  jakékoliv spropitné 3)  jakýkoliv úplatek"
"balast","podstatné jméno","ba-last","Z německého Ballast, které z středodolnoněmeckého bare Last, srovnej (moderně)německé bar a Last, doslova tedy něco jako ""holý náklad. Dále srovnej anglické a francouzské ballast.","1)  odhoditelná zátěž v horkovzdušném balonu, lodi či letadle (původní význam) 2) neužitečná, překážející věc 3)  nesmysl, hloupost"
"banán","podstatné jméno","ba-nán","Z wolofského banaana přes španělštinu či portugalštinu.","1) podlouhlý a]] [[žlutý plod banánovníku 2)  gól"
"banda","podstatné jméno","ban-da","Odvozeno z latinského bandum a germánského banda — „prapor, praporec“, přes provensálštinu a francouzštinu, kde je doloženo ve 14. století. V češtině mělo původně neutrální význam „družina, houfec, kapela“; pejorativního zabarvení nabylo až v 18. století, zřejmě i pod vlivem slova bandita, které je však jiného původu.","1)  skupina lidí na pokraji společnosti 2)  skupina hudebníků, kapela"
"banka","podstatné jméno","ban-ka","Z italského banca, původně z banco (lavice), na které provozovali první bankéři svou živnost. Srovnej s bankrot.","1) komerční nebo státní instituce, která poskytuje finanční služby 2) pobočka této instituce"
"bankrot","podstatné jméno","ban-k-rot","První bankéři provozovali svou živnost na lavici (italsky banca). V případě krachu svou lavici na znamení platební neschopnosti zlomili (banca rotta); viz též španělské bancarrota. Slovo rotta vzniklo z latinského ruptus, příčestí minulého slovesa rumpere. Do češtiny přejato přes němčinu, doloženo od 18. století.","1) ukončení činnosti pro neschopnost splácet své závazky 2) úpadek"
"barmský","přídavné jméno","barm-ský","Ze substantiva Barma a přípony -ský.","1) vztahující se Barmě 2) vztahující se barmštině"
"barva","podstatné jméno","bar-va","z německého Farbe","1) složení viditelného světla hlediska vnímání oka 2) přípravek určený k]] [[obarvení předmětu 3)  krev 4) kategorie hracích karet 5)  povaha tónu hlediska subjektivního vnímání 6)  barevný náboj kvantové chromodynamice, jedna z]] silnou interakcí, nikoliv s]] barvou (1) [[světla."
"báseň","podstatné jméno","bá-seň","Původ slova je odvozován z obecně slovanského slova bajati, jehož význam ve staré češtině byl povídat něco nepravdivého. V tomto významu pak bylo používáno i samotné slovo báseň („za pravdu básně”). Ve stejné době bylo používáno i pro bajky, jakožto literární díla s charakteristickým rysem něčeho smyšleného. Pro báseň pravdivě popisující skutečnost se ve starší době nejčastěji používalo slovo skládánie a slovní spojení skládati báseň nalezneme poprvé až v německo-českém slovníku Josefa Dobrovského z roku 1821.","1) umělecké literární dílo ve verších 2)  nepravda, smyšlenka, blud 3)  bajka"
"bastard","podstatné jméno","ba-s-tard","Ze staré francouzštiny (současná podoba bâtard) — „dítě šlechtice přiznané ženou, která není jeho manželkou“. Ve francouzštině zřejmě vzniklo ze slovního spojení fils de bast — „syn ze soumarského sedla“, tedy počatý na improvizovaném lůžku, neboť sedla při cestování často sloužila za lůžka. Koncovka -ard má pejorativní význam.","1)  nemanželské dítě 2)  kříženec, míšenec 3)  nadávka 4) typ meče, který mohl být používán jednoručně i]] [[obouručně"
"báze","podstatné jméno","bá-ze","Z řeckého βάσις.","1) část celku, na které spočívají nebo záleží ostatní části 2)  spodní část lebky mozku 3)  látka schopná přijímat vodíkové kationty a]] soli; látka mající pH vyšší než 7 4)  jedna elektrod tranzistoru"
"bazilišek","podstatné jméno","ba-zi-li-šek","Přes latinu z řeckého βασιλίσκος basiliskos, zdrobněliny slova βασιλεύς basileus — „král“.","1) mytologický tvor nosící na hlavě korunku 2)  druh amerických tropických ještěrů"
"bažant","podstatné jméno","ba-žant","Ze středohornoněmeckého fasant, ze středohornoněmeckého fasan, z pozdnělatinského phasianus, z řeckého φασιανός ὄρνις (phasianós órnis) (pták faziský), od řeky Φάσις (Phásis) v Kolchidě. Derivace: polské bażant.","1) hrabavý pták podčeledi Phasianinae , nováček 1)  nádoba k]] osob mužského pohlaví"
"bekhend","podstatné jméno","bek-hend","Z anglického backhand.","1)  úder do míče raketou, kdy dopředu směřuje hřbet ruky 2)  úder do volejbalového míče hřbetem ruky 3)  úder do puku hokejkou přes ruku"
"Bělehrad","podstatné jméno","Bě-le-hrad","Příklad řídkého doslovného překladu jednoslovného cizojazyčného exonyma do češtiny.","1) hlavní město Srbska 2)  političtí zástupci Srbska"
"Benátky","podstatné jméno","Be-nát-ky","Jméno italského města je odvozeno ze slovinského názvu téhož města Benetke, vycházejícího z latinského Venetiae; toto označení nese jméno národa Venétů, který žil od 13. stol. př. n. l. v severovýchodní Itálii. Venétové byli z tohoto území vytlačeni nájezdem Attily v roce 452 n. l. a uchýlili se na ostrovy na území dnešního města, které tehdy založili. Jméno českých obcí zjevně souvisí se zastaralým českým výrazem benátky, označujícím močálovitou půdu či vodu vystouplou na způsob jezer.","1) italské přístavní město Jaderském moři; italsky zvané Venezia 2) obec, místní část nebo část názvu města Česku"
"berla","podstatné jméno","ber-la","Z latinského ferula — „hůl“.","1) hůl uzpůsobená pro usnadnění chůze osobám se sníženými tělesnými schopnostmi 2) zdobená hůl symbolizující úřední postavení 3)  druhové jméno pavouka velesekáč berla"
"berle","podstatné jméno","ber-le","Z latinského ferula — „hůl“.","1) hůl uzpůsobená pro usnadnění chůze osobám se sníženými tělesnými schopnostmi 2) zdobená hůl symbolizující úřední postavení"
"beruška","podstatné jméno","be-ruš-ka","Slovo je nejasného původu, snad lze uvažovat o indoevropském *bhedh – bodat (podle charakteristických teček, bodů na krovkách). Pokusy spojit s bedro či bedrník nejsou sémanticky přesvědčivé. V češtině došlo k přiklonění k beruška přes berunka (od beran), vlastně ovečka.","1)  brouk slunéčko sedmitečné, dříve označení pro různé druhy hmyzu (světluška) a korýšů, zejm. pro svinku 2) citově zabarvené oslovení, zejména ženy či dívky 3) vodní nebo suchozemský korýš z]] [[řádu stejnonožci (Isopoda) 4) druh sponky do vlasů 5)  ovečka 6)  bílý obláček 7)  bankovky, peníze"
"beryl","podstatné jméno","be-ryl","Z latinského beryllus resp. řeckého βήρυλλος — „modrozelený mořský kámen“.","1) šesterečný minerál, ceněný jako drahokam či zdroj beryllia 2)  průhledný horský křišťál"
"bezděky","příslovce","bez-dě-ky","Ze staročeského bez dieky, které je kalkem středohornoněmeckého āne danc (vlatně jakoby dnešního ohne Denken) (ve významu mimovolně, bezmyšlenkovitě). Souvisí takto jak s německým danken, denken, tak s anglickým think, thank. Srovn. s mimoděk a děkovat.","1) bez vlastní vůle; samovolně 2)  proti vůli; z]] [[přinucení"
"Bezděz","podstatné jméno","Bez-děz","Vzniklo ze jmenného tvaru přisvojovacího přídavného jména „Bezdědův“ (hrad).","1) obec Libereckém kraji 2) hrad v]] Čechách"
"bible","podstatné jméno","bib-le","Nejstarší známé židovské pojmenování jejich svatých knih, známé již z knihy Daniel pravděpodobně z 2. stol. př. n. l., bylo hebrejské הַסְּפַּרִים („ty knihy“). Řecky mluvící Židé to do svého jazyka přeložili jako τἁ βιβλία ; tento výraz je doložen z roku 223 př. n. l. Starořecké slovo βιβλίον, s významem „papír, svitek“, je deminutivem slova βίβλος — „egyptský papyrus“, jehož název mohl být odvozen od jména fénického přístavu Byblos (v dnešním Libanonu), odkud se papyrus vyvážel do Řecka; případně slovo mohlo pocházet z jiného egyptského kořene. Do češtiny se slovo dostalo přes latinské biblia (knihy).","1) základní kniha křesťanství a]] [[jiných monoteistických náboženství 2)  kniha nebo osoba považovaná za autoritu daného oboru 3)  objemná kniha"
"bigotní","přídavné jméno","bi-got-ní","Podle staršího oblíbeného výkladu vychází z germánského zaklínání se bī God, doslova ""při Bohu"".","1) přehnaně zbožný, někdy až s]]e intoleranci nebo vnějškovosti 2)  (nověji) netolerantní vůči jiným názorům"
"biliár","podstatné jméno","bi-liár","Původně z italského bigliardo, odvozeného od biglia — „koule“; hra vznikla v Itálii v 15. století. Odtud byl název přejat do francouzštiny jako billard a do španělštiny jako billar. České slovo bylo odvozeno z francouzského.","1) hra, při níž se tágem pohybují sráží koule na speciálním stole 2) speciální stůl pro biliár (1), potažený suknem"
"bílý","podstatné jméno","bí-lý","Všeslovanské. - polské biały, ruské белый, chorv. bijel, starosl. белъ. Praslovanské *bělъ má formou nejblíže asi ke keltskému *belos 'světlý, zářivý' (jméno boha Belenos aj.), dále je příbuzné anglické dialektové ball 'kůň se světlými skvrnami', řecké φαλός (falos) 'bílý, světlý', s rozšířením kořene pak litevské báltas 'bílý'. Východiskem je indoevropské *bhel-/*bhol- 'zářit'.","1) muž europoidní rasy 2) hráč hrající deskovou hru s]] bílými [[kameny"
"biofeedback","podstatné jméno","bio-feed-back","Složenina z předpony řeckého původu bio- („biologický“) a anglického feedback („zpětná vazba“).","1)  zpětné působení biologického procesu živém organismu na orgán, který jej řídí 2)  technika, při které se měří fyziologické veličiny (jako je krevní tlak, tep, teplota, pocení, svalové napětí, …) a]] reálném čase je nich informován pacient, aby se naučil je vědomě ovlivňovat"
"bit","podstatné jméno","bit","Přejato z angličtiny, kde význam (1) vznikl zkrácením slovního spojení binary digit = dvojková číslice.","1)  nejmenší jednotka informace – 0 nebo 1 2) nástavec na víceúčelový montážní klíč"
"blazeovaný","přídavné jméno","bla-ze-o-va-ný","Z francouzského blasé.","1) který je přesycený požitky; takový, který se (zpravidla ostentativně) nudí 2) dávající najevo pobavenou převahu, s]]e samým spokojený"
"blbec","podstatné jméno","bl-bec","Pouze české slovo. Asi souvisí se slovem blábolit. Ze slova blb a přípony -ec.","1)  hloupý člověk 2)  mentálně retardovaný člověk"
"blbina","podstatné jméno","bl-bi-na","Z přídavného jména blbý a přípony -ina.","1)  hloupost, pitomost, nesmysl (nehmotná) 2)  hloupost, pitomost, nesmysl (hmotná)"
"blízký","přídavné jméno","blíz-ký","Všeslovanské. - Polské bliski, ruské близкий (blizkij), srbochorvatské blȉzak, staroslověnské a bulharské близъкъ. Praslovanské *blizъkъ se nejpřesvědčivěji spojuje s lotyšským blaizīt 'tlačit', latinským flīgere 'bít' z indoevropského *bhleig- 'bít'. Významová paralela je v latinském pressus 'tisknut' - z něhož italské presso, francouzské près oboje znamená 'blízko', jakož i v řeckém ἄγχω (anchō) 'dávím, rdousím' -  ἄγχι (anchi) 'blízko'. Srovnej i s blizna a ublížit","1) malé vzdálenosti 2) spojený lidským vztahem"
"blok","podstatné jméno","blok","Původní význam (2) převzat z německého Block, novější významy z němčiny, angličtiny (block) a francouzštiny (bloc).","1) zápisník, sešité papíry 2) jednolitý kus hmoty 3) skupina souvisejících entit 4) zaseknutí, zneprůchodnění, znefunkčnění 5)  množina prvků periodické tabulky podle orbitalů 6)  oblast zdrojového kódu 7)  pevná startovací pozice (u běhů, v plavání)"
"blůza","podstatné jméno","blů-za","Z francouzského blouse (blůza, halena, halenka, pracovní plášť).","1) horní samostatná část ženskéhoho oděvu lehké látky 2) kabát od pracovního nebo sportovního oděvu nebo uniformy"
"blůzička","podstatné jméno","blů-zič-ka","Zdrobnělina substantiva blůzka ze základního blůza pomocí přípony -ička.","1)  blůzka; horní samostatná část ženskéhoho oděvu lehké látky 2)  blůza; kabát od pracovního nebo sportovního oděvu nebo uniformy"
"blůzka","podstatné jméno","blůz-ka","Zdrobnělina substantiva blůza pomocí přípony -ka.","1) blůza; horní samostatná část ženskéhoho oděvu lehké látky 2)  blůza; kabát od pracovního nebo sportovního oděvu nebo uniformy"
"Bohnice","podstatné jméno","Boh-ni-ce","Původní název ves zřejmě získala název podle kanovníka vyšehradské kapituly Johanna Boema; odpovídající tvar Boemice doložen poprvé k roku 1352.","1) čtvrť Praze 2) psychiatrická léčebna v]] [[pražských Bohnicích (1)"
"bolehlav","podstatné jméno","bo-le-hlav","Ze slovního spojení bolet hlava.","1) rod prudce jedovatých, jednoletých až dvouletých bylin s]] větvenou lodyhou, se zpeřenými listy a]] kvítky sdruženými v]] [[okolíku 2) odvar [[z]] bolehlavu (1) 3) bolest hlavy 4)  sladký alkoholický nápoj působící na druhý den bolení hlavy"
"bolševik","podstatné jméno","bol-še-vik","Z ruského большевик. Ve významu „nadvláda komunistů“ používáno od 90. let 20. století.","1)  příslušník politické frakce Rusku počátkem 20. století 2)  období komunistického režimu"
"bombastický","přídavné jméno","bom-ba-s-tic-ký","Přes německé Bombast z anglického bombast, kde přenesením jeho původního významu „vata, vycpávka“ vznikl význam „slovní vycpávka, slohová nabubřelost“. Původní tvar anglického slova byl bombace a přes francouzštinu vyšel ze středolatinského tvaru bombācem, akuzativu od bombāx (za zmínku stojí, že bombax se i v současnosti užívá jako latinský název jednoho z rodů z čeledi bavlníkovitých), které se přes další tvary bombyx, bambax (vše „bavlna“) vyvinulo z řeckých slov βάμβαξ (bámbax), βαμβάκι (bambáki), jejichž počátek lze spatřovat ve středoperském pambak téhož významu. Veskrze kladný význam „skvělý, vynikající“ se v češtině objevuje od konce 90. let 20. století, především jako expresívní inovace v textech milovníků počítačových her, v reklamách a bulvárním tisku. Vznikl patrně vlivem nápadné podobnosti s bomba, přestože obě slova mají zcela odlišný původ.","1) nevhodně okázalý, přepjatý v]] [[projevu, prázdně mnohomluvný 2)  skvělý, vynikající"
